术语名,定义1来源标准,定义2来源标准,冲突类型,冲突描述
元数据,公安物联网视频图像内容元数据描述规范,地理空间数据交换基本要求,领域冲突,两个定义将“元数据”分别归入“数据元素定义”（公安数据管理领域）和“对数据包的说明”（地理信息领域），属概念和视角本质不同。
元数据,公安物联网视频图像内容元数据描述规范,民用飞机飞行运行技术数据规范,层级冲突,定义1的属概念是‘数据元素定义’，定义2的属概念是‘信息’，两者属于不同的上位概念范畴。
元数据,公安物联网视频图像内容元数据描述规范,月球信息元数据,层级冲突,定义1将‘元数据’的属概念定位为‘数据元素定义’，定义2定位为‘信息’，两者属于不同的上位概念体系。
元数据,公安物联网视频图像内容元数据描述规范,草地资源空间信息共享数据规范,层级冲突,两个定义将术语'元数据'归入不同的上位概念（'数据元素定义'与'描述数据、诠释数据、关于数据的数据'），导致层级定位不同。
元数据,公安物联网视频图像内容元数据描述规范,智能制造 工业云服务 数据管理通用要求,层级冲突,两个定义将“元数据”归入不同的上位概念（“数据元素定义”与“数据”），导致层级定位不同。
元数据,公安物联网视频图像内容元数据描述规范,中国标准时间 第2部分：元数据,层级冲突,定义1的属概念为“数据元素定义”，定义2的属概念为“数据”，两者将术语归入不同的上位概念范畴。
元数据,公安物联网视频图像内容元数据描述规范,信息与文献 期刊描述型元数据元素集,层级冲突,定义1的属概念是‘数据元素定义’，定义2的属概念是‘关于数据的数据’，两者属于不同的上位概念体系。
元数据,公安物联网视频图像内容元数据描述规范,基础零部件通用元数据,层级冲突,定义1的属概念为‘数据元素定义’，定义2的属概念为‘数据’，两者将术语归入不同的上位概念体系。
元数据,公安物联网视频图像内容元数据描述规范,信息技术 云数据存储和管理 第1部分：总则,层级冲突,定义1的属概念为‘数据元素定义’，定义2的属概念为‘数据’，两者将术语归入不同的上位概念，导致层级定位不同。
元数据,公安物联网视频图像内容元数据描述规范,珠宝玉石饰品产品元数据,层级冲突,定义1将属概念定位为‘数据元素定义’，定义2定位为‘数据’，两者属于不同的上位概念层级。
元数据,公安物联网视频图像内容元数据描述规范,图书版权资产核心元数据,层级冲突,定义1的属概念为'数据元素定义'，定义2的属概念为'关于数据或数据元素的数据'，两者属于不同的上位概念范畴。
元数据,公安物联网视频图像内容元数据描述规范,光学遥感测绘卫星影像产品元数据,领域冲突,定义1将元数据归入“数据元素定义”范畴，强调公安数据元标准；定义2将其归入“关于影像数据的数据”范畴，强调信息发现与使用，体现了不同应用领域（公安数据管理 vs. 遥感影像管理）的本质理解差异。
元数据,公安物联网视频图像内容元数据描述规范,科技平台 数据元设计与管理,层级冲突,定义1将属概念定位为“数据元素定义”，定义2定位为“数据”，两者属于不同的上位概念层级。
元数据,公安物联网视频图像内容元数据描述规范,数据论文出版元数据,层级冲突,定义1的属概念是“数据元素定义”，定义2的属概念是“数据”，两者将术语归入不同的上位概念，导致层级定位不同。
元数据,公安物联网视频图像内容元数据描述规范,地震现场应急指挥数据共享技术要求,层级冲突,两个定义将“元数据”归入不同的上位概念（属），分别是“数据元素定义”和“描述...的数据”，导致层级定位不同。
元数据,公安物联网视频图像内容元数据描述规范,实景地图数据产品,引用冲突,两个定义分别引用了不同的权威标准（公安数据元标准 vs GB/T 19710—2005），且未表明其概念一致性，导致依据的规范来源不同且可能产生规定矛盾。
元数据,公安物联网视频图像内容元数据描述规范,统计数据与元数据交换（SDMX） 第1部分：框架,层级冲突,两个定义将“元数据”归入不同的上位概念（属），分别是“数据元素定义”和“表示特定的概念”，导致层级定位不同。
元数据,公安物联网视频图像内容元数据描述规范,地理信息 矢量数据模型与存储规范,领域冲突,两个定义分别从公安数据管理和地理信息标准化的不同领域视角，对‘元数据’的属概念（数据元素定义 vs. 内容和编码）和核心关注点（遵循特定数据元标准 vs. 由不同机构确定并遵循特定组成规范）进行了不同界定。
元数据,公安物联网视频图像内容元数据描述规范,产品标签内容核心元数据,层级冲突,定义1的属概念为“数据元素定义”，定义2的属概念为“关于数据或数据元素的数据”，两者将术语归入不同的上位概念范畴。
元数据,公安物联网视频图像内容元数据描述规范,信息技术 数据集成中间件,层级冲突,两个定义将术语“元数据”归入不同的上位概念（“数据元素定义”与“定义和描述其他数据的数据”），导致层级定位不同。
元数据,公安物联网视频图像内容元数据描述规范,信息技术 云数据存储和管理 基于对象的云存储应用接口测试方法,层级冲突,定义1的属概念为‘数据元素定义’，定义2的属概念为‘数据’，两者属于不同的上位概念层级。
元数据,公安物联网视频图像内容元数据描述规范,信息技术 数据质量评价指标,层级冲突,定义1的属概念为“数据元素定义”，定义2的属概念为“关于数据或数据元素的数据”，两者属于不同的上位概念范畴。
元数据,公安物联网视频图像内容元数据描述规范,航天术语 空间数据与信息传输,领域冲突,两个定义将术语“元数据”归入不同领域（公安数据元标准 vs 通用数据管理标准）的不同属概念（数据元素定义 vs 描述数据的数据），体现了不同学科或应用领域的视角差异。
元数据,公安物联网视频图像内容元数据描述规范,科技服务产品数据描述规范,层级冲突,两个定义将术语“元数据”归入不同的上位概念（属），一个归为“数据元素定义”，另一个归为“定义和描述其他数据的数据”，导致层级定位不同。
元数据,公安物联网视频图像内容元数据描述规范,全息位置地图数据内容,层级冲突,定义1将“元数据”的属概念定位为“数据元素定义”，而定义2将其定位为“关于数据的数据”，两者属于不同的上位概念体系。
元数据,公安物联网视频图像内容元数据描述规范,科技计划形成的科学数据汇交 技术与管理规范,层级冲突,定义1将属概念定位为“数据元素定义”，定义2定位为“关于数据的数据”，两者属于不同的上位概念体系。
